name,St Fergus,Grangemouth,Teesside,Humberside,Theddlethorpe,Merseyside,Barrow,Bacton,Grain LNG,Southampton,South Wales
2050-11-11 18:00:00,300.41301094782744,700.9636922115974,859.4614369919536,886.4973895824847,1175.8124056047836,2159.509732889129,0.0,705.1332860544047,1381.798951219561,756.3490895526983,1197.611104945559
2050-11-11 19:00:00,304.34113607245115,710.129317502386,870.699539009045,898.089006929368,1191.187033480347,2187.746940098854,0.0,714.3534319076741,1399.867007460996,766.2389203968562,1213.270767142021
2050-11-11 20:00:00,294.719323065109,687.6784204852544,843.1721785672754,869.6957223404361,1153.5273893033273,2118.580831840636,0.0,691.7689885699438,1355.6098992870593,742.0141057492197,1174.9129407917374
2050-11-11 21:00:00,260.743620949692,608.401782215948,745.9699779342337,769.4358463133617,1020.5469570963547,1874.3475372556454,0.0,612.0207832473378,1199.3330809098925,656.4735651420347,1039.4671489354976
2050-11-11 22:00:00,217.20830096830383,506.8193689260423,621.4183529794592,640.9662191278688,850.1503116428726,1561.3952222822509,0.0,509.83411982337066,999.0852311197327,546.86479843976,865.9114746903379
2050-11-11 23:00:00,176.94794881459785,412.8785472340616,506.2361909064736,522.1607886462633,692.5718453607778,1271.9849132841125,0.0,415.3345030381958,813.9011333797629,445.5014100816741,705.4116192540804
2050-11-12 00:00:00,137.90610687298064,321.78091603695486,394.5401046681099,406.95109497641624,539.7626113406606,991.3338276442711,0.0,323.69498910685587,634.3217733567191,347.20586185014014,549.7694141468912
2050-11-12 01:00:00,146.99368679186367,342.9852691810152,420.53906014350656,433.7678957877203,575.3312745348231,1056.6596177001613,0.0,345.0254736629887,676.1215887555843,370.0856391813498,585.9974942609867
2050-11-12 02:00:00,147.74746496067917,344.7440849082514,422.69556883166,435.99224145394464,578.2815519518064,1062.0781289918682,0.0,346.79475148306705,679.5887151621113,371.9834245998626,589.0024676567488
2050-11-12 03:00:00,164.79404367454026,384.51943524059396,471.46468502601795,486.29548059618895,645.0016272962038,1184.6169382428325,0.0,386.80670045480275,757.9972518442515,414.9015533771025,656.9594842474653
2050-11-12 04:00:00,209.87132777371102,489.6997648053257,600.4277657039588,619.3153340216548,821.4334991633684,1508.6536150739616,0.0,492.6126819033772,965.3376186796874,528.3925192988056,836.6622735761482
2050-11-12 05:00:00,292.5090942757621,682.5212199767782,836.8488625252048,863.1734946714207,1144.8765841283466,2102.6926698484267,0.0,686.5811111066906,1345.4435892013578,736.4494182303557,1166.1017560356552
2050-11-12 06:00:00,313.53902564304383,731.591059833769,897.0140829853304,925.2313236628282,1227.187447138742,2253.8656877092358,0.0,735.9428366981475,1442.1742102082353,789.3964240634742,1249.938602057193
2050-11-12 07:00:00,305.01373621333863,711.6987178311234,872.6238028143451,900.0738020194618,1193.8195812091283,2192.5819056218397,0.0,715.9321676157191,1402.9607422041622,767.9323240966102,1215.9521203742704
2050-11-12 08:00:00,287.7858511992016,671.5003194648037,823.335981478425,849.2355409039603,1126.389875491512,2068.73978158153,0.0,675.4946541622967,1323.7182574357512,724.5577208986679,1147.2723173838503
2050-11-12 09:00:00,269.10568188823584,627.913257739217,769.8932723607302,794.111692310046,1053.2759489497423,1934.4579563311147,0.0,631.6483203143214,1237.7957526778628,677.5267051431854,1072.802912285544
2050-11-12 10:00:00,254.7854694382641,594.4994286892829,728.9241068393998,751.8537657471672,997.2268337784386,1831.5175475079936,0.0,598.0357333295339,1171.9275851102177,641.4727419191412,1015.7146876405591
2050-11-12 11:00:00,244.64789285722463,570.8450833335241,699.9211814718653,721.9384996026367,957.5484980460864,1758.643888588921,0.0,574.2406830929847,1125.2981377257931,615.9493906063994,975.3007446745622
2050-11-12 12:00:00,238.4091050218026,556.2879117175394,682.0724287124484,703.5282812408857,933.1299680041254,1713.7965532171384,0.0,559.596919983299,1096.601809092528,600.2420100094471,950.4295130007839
2050-11-12 13:00:00,235.56709953542722,549.6565655826635,673.9416419946808,695.141725555758,922.0063974998594,1693.3668837784278,0.0,552.9261281248847,1083.5295383941202,593.0866998737716,939.0997196604068
2050-11-12 14:00:00,235.231226780235,548.872862487215,672.9807326122503,694.1505889875702,920.6917961415039,1690.9524727595394,0.0,552.1377632707207,1081.9846365291726,592.2410738744393,937.7607465573519
2050-11-12 15:00:00,239.7104787830895,559.3244504938755,685.7955715930127,707.3685424819422,938.2235270614443,1723.151438662209,0.0,562.6515212263877,1102.5876913045445,603.5184754874623,955.6175029060303
2050-11-12 16:00:00,249.5060696268659,582.1808291293538,713.8200987471957,736.2746330837701,976.5633353074367,1793.566743577909,0.0,585.643858138573,1147.6441191596512,628.180810161135,994.6681030681085
2050-11-12 17:00:00,259.4485026088932,605.3798394207507,742.2647313913304,765.61404437244,1015.4778816690525,1865.0376187092613,0.0,608.9808648077354,1193.3759715311253,653.2128489206048,1034.3040965688053
2050-11-12 18:00:00,266.19609234037256,621.1242154608692,761.5691321845989,785.5257008751234,1041.887855355521,1913.542460935296,0.0,624.8188942768761,1224.4126179959392,670.2012387842045,1061.2036917911964
2050-11-12 19:00:00,269.2379775031316,628.221947507307,770.2717612248686,794.5020872429693,1053.7937521724148,1935.4089593089302,0.0,631.958846284444,1238.4042680725095,677.8597854833562,1073.3303152000676
2050-11-12 20:00:00,261.4747247029717,610.1076909736006,748.0616166432279,771.59328139499,1023.4084871618411,1879.6030542053873,0.0,613.7368393874175,1202.695912620567,658.3142632410185,1042.3817296689772
2050-11-12 21:00:00,231.8429848012855,540.9669645363329,663.2871999955485,684.1521283345655,907.4302634952644,1666.5961990154715,0.0,544.1848380860687,1066.3998614283246,583.7105054816884,924.2533548254494
2050-11-12 22:00:00,193.12053133553823,450.6145731162559,552.5048627241944,569.8849272992022,755.8711115902664,1388.2410276572305,0.0,453.2949968962904,888.2895811218889,486.21908082048736,769.8844074386452
2050-11-12 23:00:00,155.25045013050254,362.2510503045059,444.1611052125248,458.1330160699937,607.6481330260168,1116.013108202107,0.0,364.4058548481401,714.0999269300942,390.8736716774396,618.9134835986742
2050-11-13 00:00:00,140.76744243955505,328.4573656922951,402.7261934463729,415.39469235085966,550.9618395137727,1011.9024507727559,0.0,330.41115277831994,647.4829559316854,354.4098392805955,561.176267793787
2050-11-13 01:00:00,148.27409836608803,345.9728961875387,424.20223161551417,437.5462991084014,580.3427878794113,1065.8638171052316,0.0,348.0308721907898,682.0110519476425,373.3093282131991,591.1019173861829
2050-11-13 02:00:00,151.8055503036502,354.21295070851716,434.30547830030014,447.9673621449441,594.1648423399746,1091.2495512528121,0.0,356.3199416336206,698.2545447584555,382.2004559621172,605.1802225956084
2050-11-13 03:00:00,170.68113028566032,398.2559706665407,488.30724421653196,503.66785370525605,668.0436035687525,1226.9360801300757,0.0,400.62494592389424,785.0758729709415,429.72345667746197,680.4286418548837
2050-11-13 04:00:00,218.58226194048228,510.02527786112535,625.3491629926261,645.0206800561139,855.5279760483094,1571.2718986707594,0.0,513.0590987021681,1005.4049901221233,550.3240165578746,871.3888370484166
2050-11-13 05:00:00,300.77006251517497,701.7968125354083,860.4829375327743,887.551023316261,1177.2099005435125,2162.0763871508652,0.0,705.9713620890622,1383.441268507136,757.248037394653,1199.0345084151506
