name,St Fergus,Grangemouth,Teesside,Humberside,Theddlethorpe,Merseyside,Barrow,Bacton,Grain LNG,Southampton,South Wales
2050-06-16 06:00:00,4.866411490634813,11.354960144814564,13.922476258731425,14.360433556025942,19.04706784640501,34.982050028766814,0.0,11.422503688697361,22.38385838464842,12.252152091274288,19.400186510001326
2050-06-16 07:00:00,4.480661549691261,10.454876949279608,12.818871599542797,13.222112966650917,17.537247866931775,32.209098386956335,0.0,10.517066462145085,20.60953821739914,11.280950425583674,17.862375575819375
2050-06-16 08:00:00,4.131999011622574,9.64133102711934,11.821371507758101,12.19323466052198,16.172587473770545,29.702748405384074,0.0,9.698681264990162,19.005807646899544,10.403123621753322,16.472415380180312
2050-06-16 09:00:00,3.731411735555457,8.706627382962733,10.675318229828905,11.011130152421527,14.604694368072316,26.82313903424162,0.0,8.758417654457508,17.16324072146909,9.394566034371135,14.875454686619705
2050-06-16 10:00:00,3.4272612028574696,7.9969428066674295,9.805163994265923,10.113603602468888,13.41425335358608,24.636762240665306,0.0,8.044511609243722,15.76425042551304,8.628806995615511,13.662943769116612
2050-06-16 11:00:00,3.152782372939591,7.356492203525712,9.019898506460338,9.303636133183371,12.339946976924596,22.663679574207094,0.0,7.400251366713898,14.50173999656772,7.9377523290587035,12.56872054041896
2050-06-16 12:00:00,2.982161921419652,6.958377816645855,8.53176486011501,8.800147338192135,11.672140869212853,21.4371796815269,0.0,6.999768846769931,13.716943225539037,7.508181643158592,11.888533797420033
2050-06-16 13:00:00,2.7892854672143637,6.508332756833515,7.979958285658821,8.23098266511275,10.917225072163614,20.050693194848723,0.0,6.547046750855395,12.82977631723858,7.022577074721115,11.119622415353117
2050-06-16 14:00:00,2.729939094187123,6.36985788643662,7.810172300420282,8.055855746994766,10.684944181888866,19.624083609066663,0.0,6.4077481802106755,12.556802933865487,6.873160859139149,10.883035207790366
2050-06-16 15:00:00,2.6631740535980986,6.214072791728897,7.619162005811456,7.8588368695140645,10.423626728501619,19.144145158618603,0.0,6.251036417575766,12.249706171401805,6.705066682711393,10.616873120538283
2050-06-16 16:00:00,2.6631740535980986,6.214072791728897,7.619162005811456,7.8588368695140645,10.423626728501619,19.144145158618603,0.0,6.251036417575766,12.249706171401805,6.705066682711393,10.616873120538283
2050-06-16 17:00:00,2.7225204266253393,6.352547662125792,7.788947991049995,8.033963787632048,10.655907618776366,19.570754744400666,0.0,6.390334988220485,12.522679554774895,6.854482898293359,10.853460328101036
2050-06-16 18:00:00,2.9302342159541945,6.837213170559787,8.383203184246755,8.646912379436866,11.468896542050604,21.063898960410825,0.0,6.8778834681154,13.478093221256534,7.377443388422412,11.681521469546608
2050-06-16 19:00:00,2.8931408781452785,6.7506620490056495,8.277081637395327,8.537452582623285,11.323713726488108,20.79725463708087,0.0,6.790817508164453,13.307476325803579,7.2840535841934715,11.533647071099965
2050-06-16 20:00:00,2.8560505078033875,6.664117851541237,8.170968580267646,8.42800154259345,11.17854252555086,20.53063164529678,0.0,6.703758513490302,13.136873079702262,7.19067125114887,11.385784502605198
2050-06-16 21:00:00,2.4999722696399433,5.833268629159868,7.152252668836413,7.377240033885545,9.784857183902377,17.970974130604397,0.0,5.867967089621988,11.499032779463713,6.294173957657069,9.966261257228684
2050-06-16 22:00:00,1.9806892800513183,4.621608320119742,5.666618930706387,5.844872932765374,7.752390683029404,14.238124256351941,0.0,4.649099372523098,9.110505437935434,4.986776467926607,7.896114318590693
2050-06-16 23:00:00,1.9955266151748847,4.656228768741397,5.709067549446958,5.888656851490806,7.810463809254402,14.344781985683923,0.0,4.683925756503477,9.178752196116616,5.024132389618183,7.955264077969351
2050-06-17 00:00:00,1.9601514407732774,4.573686695137647,5.607861552645686,5.78426723246563,7.67200586170876,14.09048862741061,0.0,4.600892691817457,9.01603827526104,4.935068401121126,7.814239221658755
2050-06-17 01:00:00,2.0992158479524154,4.898170311888969,6.005715476653569,6.194636389111617,8.216302044565177,15.090148861347549,0.0,4.927306458311955,9.655687840989986,5.285190512767594,8.368626256411156
2050-06-17 02:00:00,2.2780146385924644,5.315367490049083,6.517246801648703,6.722258880104312,8.916118059452138,16.37543849443554,0.0,5.346985281105908,10.478102225128138,5.735351782704103,9.081416346779601
2050-06-17 03:00:00,2.728318857191629,6.366077333447135,7.805536911253811,8.051074543069948,10.678602596505096,19.61243658502361,0.0,6.403945139080017,12.549350387872103,6.869081592490428,10.876576054066215
2050-06-17 04:00:00,3.3839094770934333,7.895788779884677,9.68113762002972,9.98567574873692,13.24457529338188,24.325129687103118,0.0,7.942755880529851,15.564847047459262,8.519660463617063,13.490120002164051
2050-06-17 05:00:00,4.224922274034447,9.858151972747043,12.087218717206557,12.467444586715622,16.536287848692467,30.370724432644423,0.0,9.916791942582481,19.433223444036656,10.637076288123328,16.84285849321697
2050-06-17 06:00:00,4.34411948948313,10.13627880879397,12.428233940720814,12.819187076188255,17.00282411553361,31.227569967005834,0.0,10.19657318092725,19.981490600561,10.937178820624775,17.318044000161347
2050-06-17 07:00:00,3.999768681001352,9.332793589003154,11.443069417542128,11.803032376840932,15.655039772853367,28.752214721577452,0.0,9.388308530957028,18.397592537988857,10.070207647637996,15.945272724597723
2050-06-17 08:00:00,3.6885288695813245,8.606567362356424,10.552633231944903,10.884585870521281,14.436851418656824,26.51487686492632,0.0,8.657762439477416,16.965993940973835,9.286599949498138,14.704500052063507
2050-06-17 09:00:00,3.3309342557682524,7.772179930125922,9.529579071678384,9.829349645319637,13.037231003508147,23.94431893029621,0.0,7.818411759166307,15.321178822049172,8.386284880809459,13.278931701278495
2050-06-17 10:00:00,3.0594258603421114,7.13866034079826,8.75281179734466,9.02814771656295,11.974550866716907,21.992589141250264,0.0,7.181123758709355,14.072331394091723,7.7027088697753054,12.19655025440845
2050-06-17 11:00:00,2.814408043045586,6.566952100439701,8.051832286910356,8.30511759629865,11.01555448948778,20.231286062153636,0.0,6.606014784210972,12.945331728190956,7.085828121329292,11.219774787933058
2050-06-17 12:00:00,2.6620968630681277,6.211559347158965,7.616080236090891,7.855658157014599,10.419410619537684,19.136401807469102,0.0,6.2485080220987905,12.24475145675785,6.7023546427965845,10.612578848007393
2050-06-17 13:00:00,2.489921458827239,5.809816737263558,7.123497974501549,7.347580807340937,9.745518448197561,17.89872418475491,0.0,5.844375697113679,11.452802425471779,6.2688690563031955,9.926193210225582
2050-06-17 14:00:00,2.436946237502058,5.686207887504802,6.971939426150212,7.191254703923653,9.538174158323828,17.517913427948002,0.0,5.720031575750134,11.209134200061687,6.1354934734955915,9.715004909340024
2050-06-17 15:00:00,2.3773476297777165,5.5471444694813385,6.801431814393084,7.015383459187337,9.304906024903257,17.089490660767297,0.0,5.5801409565777496,10.935000621799515,5.985442207244868,9.477412155867835
2050-06-17 16:00:00,2.3773476297777165,5.5471444694813385,6.801431814393084,7.015383459187337,9.304906024903257,17.089490660767297,0.0,5.5801409565777496,10.935000621799515,5.985442207244868,9.477412155867835
2050-06-17 17:00:00,2.430322851102898,5.670753319240094,6.95299036274442,7.17170956260462,9.512250314776988,17.470301417574202,0.0,5.704485077941293,11.178668847209607,6.118817790052471,9.688600456753392
2050-06-17 18:00:00,2.615742060675082,6.103398141575191,7.483462261421597,7.718868438132603,10.237978558585546,18.803181729490124,0.0,6.139703433267291,12.031534934848201,6.585647272247762,10.427783169756593
2050-06-17 19:00:00,2.5826310636133307,6.026139148431105,7.388733923840136,7.621160245104927,10.108382570101838,18.56516434071287,0.0,6.061984874776678,11.879235469291075,6.50228379740084,10.29578456672718
2050-06-17 20:00:00,2.549523034018605,5.948887079376744,7.294014075982425,7.523460808860997,9.978798196243378,18.327168283481484,0.0,5.98427328156286,11.726949653085585,6.418927793738256,10.163797793649644
2050-06-17 21:00:00,2.231659836199418,5.207206284465309,6.384628826979409,6.585469161222316,8.7346859985,16.042218416456556,0.0,5.238180692274409,10.26488570321849,5.61864441215528,8.8966206685288
2050-06-17 22:00:00,1.7681088448019335,4.125587304537845,5.058440590562719,5.217563215618615,6.920353774353365,12.709996305120894,0.0,4.150127838682618,8.132706834770365,4.451563235482716,7.048652056068922
2050-06-17 23:00:00,1.7813556176002534,4.156496441067258,5.0963387173743016,5.25665349825668,6.972201461447043,12.805220325868488,0.0,4.1812208343003,8.193637540474525,4.4849146023689554,7.101460961242187
2050-06-18 00:00:00,2.112756399986182,4.929764933301092,6.0444540861162155,6.234593593340446,8.26929957955811,15.187484705135915,0.0,4.959089016332449,9.717969832506133,5.3192815269033265,8.422606326820118
2050-06-18 01:00:00,2.1405556310736964,4.994629805838625,6.123985818188551,6.316627143464417,8.378105388853267,15.38731862681232,0.0,5.024339729358087,9.845836958634397,5.389271581784664,8.53342931599197
2050-06-18 02:00:00,2.300404177293926,5.367609747019161,6.581301767328227,6.78832881346099,9.003750406925661,16.5363850079975,0.0,5.3995382945323005,10.581086583223543,5.791721868536692,9.170673333681995
2050-06-18 03:00:00,2.7034959955299027,6.3081573229031065,7.734520372100834,7.9778240470423,10.581446256330674,19.4339982038512,0.0,6.345680598680843,12.435173561434985,6.806585135500421,10.777618506625721
2050-06-18 04:00:00,3.301182431378477,7.70275900654978,9.444461101379789,9.7415541314914,12.92078277080178,23.730448851439718,0.0,7.748577894008851,15.184330422544265,8.311378786633512,13.160324603772413
2050-06-18 05:00:00,4.329762884017566,10.102780062707655,12.387160657227437,12.776821756429527,16.946632558598303,31.124367948104208,0.0,10.162875171787837,19.915455037344888,10.901033230796006,17.260810692986556
2050-06-18 06:00:00,4.545209892412824,10.605489748963256,13.003540070511782,13.41259052667404,17.78988919526101,32.673102172642196,0.0,10.668575163013324,20.90643891419056,11.443463627310708,18.119700689020284
2050-06-18 07:00:00,4.253314998526903,9.92440166322944,12.168448394028514,12.55122949358861,16.647416583036623,30.574824663494102,0.0,9.983435710967333,19.563820440492165,10.708560579872328,16.956047472763967
2050-06-18 08:00:00,3.905821642465954,9.11358383242056,11.174293253400576,11.525801360255237,15.287332352221922,28.076879310993203,0.0,9.167794832870063,17.965467714537247,9.833677422671274,15.57074827816394
2050-06-18 09:00:00,3.523579247545613,8.221684910939764,10.08072344768222,10.397831289266906,13.791240859788278,25.329141556396806,0.0,8.27059056349075,16.207281080922,8.871306696868547,14.046920347099103
