snapshot,St Fergus,Grangemouth,Teesside,Humberside,Theddlethorpe,Merseyside,Barrow,Bacton,Grain LNG,Southampton,South Wales
2050-01-01 00:00:00,2488.654416421585,3490.947740060382,3302.478351951808,5412.836549783358,1360.4803562164395,2602.5258132560743,0.0,2837.716824073966,1171.067660750319,632.7384587273177,1026.0308287587472
2050-01-01 01:00:00,2494.16189871597,3503.798532080613,3318.2348887010157,5429.0887376021865,1382.0365663983976,2642.116181132996,0.0,2850.64405740475,1196.4002295169985,646.6046331847513,1047.9866752623186
2050-01-01 02:00:00,2510.029553227852,3540.823059275004,3363.631181975551,5475.913055427832,1444.1423485815858,2756.1803298475206,0.0,2887.88882031511,1269.3861108330398,686.5545874345123,1111.2438530819888
2050-01-01 03:00:00,2544.394272465406,3621.007404162632,3461.946334453628,5577.320893263185,1578.6453884704258,3003.210062106321,0.0,2968.550131634021,1427.4522773136073,773.0745554813443,1248.2404806494258
2050-01-01 04:00:00,2606.148474943703,3765.100543278657,3638.620957948901,5759.553144522986,1820.3504902005927,3447.128256188292,0.0,3113.5003905585672,1711.500867448506,928.5529572760792,1494.4266176337137
2050-01-01 05:00:00,2676.147852801907,3928.432424947799,3838.8844741419553,5966.116320824536,2094.327095310373,3950.3166410856,0.0,3277.803831262376,2033.4744950397749,1104.790216592063,1773.4825479936144
2050-01-01 06:00:00,2689.382785406798,3959.313934359212,3876.7487269557823,6005.17166389546,2146.128440049323,4045.455548965187,0.0,3308.869035425642,2094.3507398309057,1138.1117734527925,1826.244251658895
2050-01-01 07:00:00,2676.439676476584,3929.113346855379,3839.719362065068,5966.977471694811,2095.469289171591,3952.414406637647,0.0,3278.4888035477798,2034.816785929034,1105.524940331077,1774.6459172910256
2050-01-01 08:00:00,2665.259180642242,3903.0255232419145,3807.732714796536,5933.984625146287,2051.708981782258,3872.043754592284,0.0,3252.245799815972,1983.390260262702,1077.37583381145,1730.074325908351
2050-01-01 09:00:00,2651.3321130610398,3870.529032219108,3767.8883103259736,5892.886841077876,1997.1986302365383,3771.9294556232726,0.0,3219.556007527513,1919.3304270465844,1042.3116904444676,1674.553392437623
2050-01-01 10:00:00,2640.4002909633687,3845.021447324543,3736.613101907533,5860.627813007189,1954.411628442737,3693.346387121513,0.0,3193.896693991217,1869.0477170473696,1014.7886691723916,1630.973151022135
2050-01-01 11:00:00,2625.816867155772,3810.9934584401503,3694.890906379469,5817.593168482905,1897.3323076268275,3588.513891511589,0.0,3159.666293919895,1801.9688656389424,978.0720193687232,1572.8356214757246
2050-01-01 12:00:00,2619.6299031644694,3796.557209127111,3677.1904181555888,5799.335878592478,1873.116615400145,3544.039090256817,0.0,3145.144172404176,1773.5109092826522,962.4951155350552,1548.170988081504
2050-01-01 13:00:00,2622.429043589673,3803.088536785919,3685.198570813816,5807.595942536408,1884.0724126427472,3564.160625515488,0.0,3151.714350839271,1786.3860150966748,969.5425044129638,1559.3298977670363
2050-01-01 14:00:00,2627.469594947718,3814.8498232880265,3699.619249531257,5822.470250432947,1903.8010615424048,3600.3944746503325,0.0,3163.545597866193,1809.5708583833923,982.2330880147634,1579.4243013429614
2050-01-01 15:00:00,2629.550065306476,3819.704254125127,3705.571335422994,5828.6095702191415,1911.9439939992967,3615.349872136442,0.0,3168.428904670984,1819.1403232700968,987.4710830560658,1587.7181977933735
2050-01-01 16:00:00,2648.113061214504,3863.017911243858,3758.678819308771,5883.387648450097,1984.5993054486423,3748.7893999667767,0.0,3212.000207599389,1904.523869729276,1034.2070916267655,1661.720485411915
2050-01-01 17:00:00,2658.988884241952,3888.394831641237,3789.7938181503614,5915.48142725473,2027.1671276494465,3826.969920866492,0.0,3237.528079397266,1954.549002813764,1061.5891241791935,1705.0774838055563
2050-01-01 18:00:00,2661.243479630785,3893.655554215181,3796.2440640521895,5922.134577597518,2035.9915830864643,3843.177010800949,0.0,3242.820094713897,1964.9193843557784,1067.2655133750995,1714.0655381721324
2050-01-01 19:00:00,2660.121150959901,3891.036787316452,3793.0331571436914,5918.822665660505,2031.598804057928,3835.109185507273,0.0,3240.1857504115765,1959.757049424086,1064.4398292753208,1709.59132024326
2050-01-01 20:00:00,2648.55590818847,3864.05122084978,3759.9457747425968,5884.694458315511,1986.332602432455,3751.972791882603,0.0,3213.0396637167746,1906.5608170713583,1035.3220463503096,1663.485916450138
2050-01-01 21:00:00,2608.037511037229,3769.508294163551,3644.0253632719223,5765.127555433,1827.7441515683051,3460.707534319014,0.0,3117.9343603919665,1720.1897990118043,933.3089787445324,1501.9573520586705
2050-01-01 22:00:00,2562.239500416964,3662.646269382932,3513.000332448935,5629.980889398663,1648.4913659801364,3131.4899369540385,0.0,3010.436680376268,1509.534332248366,818.0034414554768,1319.3813513382172
2050-01-01 23:00:00,2505.641509291469,3530.5842900901107,3351.077283143911,5462.964250438649,1426.9676047831756,2724.6370103386007,0.0,2877.589147107048,1249.202582529559,675.5068201433118,1093.750702134163
2050-01-02 00:00:00,2488.7599165436486,3495.8033234667423,3305.185551061322,5430.288121776274,1360.2751490176108,2604.9968292003628,0.0,2837.593761563533,1170.82650400561,632.6064578424283,1025.8330855224654
2050-01-02 01:00:00,2500.519851859104,3523.2431725361384,3338.8299357478063,5464.990852946,1406.3033745907828,2689.532764217782,0.0,2865.1968331036487,1224.9182566698394,662.2144177006921,1072.7146406282027
2050-01-02 02:00:00,2509.392726636348,3543.946547016374,3364.2146342408555,5491.174074182995,1441.031684804594,2753.3151529356014,0.0,2886.023358987755,1265.730500529768,684.5536324314717,1108.0867882342334
2050-01-02 03:00:00,2530.151805418416,3592.3843975078667,3423.604963655596,5552.432636494854,1522.2824345103777,2902.541155279001,0.0,2934.7493359049267,1361.2152906154,736.8187133852947,1190.8438672282657
2050-01-02 04:00:00,2593.24213959926,3739.595177263168,3604.102170165694,5738.607717203718,1769.217137403358,3356.064091202775,0.0,3082.8357803596737,1651.40963781803,895.6610906401992,1442.3565583441202
2050-01-02 05:00:00,2712.785204427272,4018.528995195196,3946.106845513623,6091.37078355149,2237.107053972932,4215.39575324028,0.0,3363.428800819197,2201.2675853275223,1196.6343672627245,1918.9208106897604
2050-01-02 06:00:00,2727.306631913788,4052.412325997068,3987.651673733141,6134.222481349771,2293.943722038223,4319.782590193964,0.0,3397.5136823276966,2268.0612744815653,1233.1949290831965,1976.811188881583
2050-01-02 07:00:00,2711.126363653253,4014.658366722488,3941.3610135309127,6086.475662626933,2230.6143739293493,4203.471227117052,0.0,3359.5351484027,2193.6374749187016,1192.457907976947,1912.3077611216595
2050-01-02 08:00:00,2696.1636649177613,3979.7454030063386,3898.553737920878,6042.321804815405,2172.0505762462512,4095.9123252983977,0.0,3324.4145093387942,2124.8140862282944,1154.786358631814,1852.6582335960604
2050-01-02 09:00:00,2681.7030556679165,3946.0039814233673,3857.182906589577,5999.64957729998,2115.4519499253565,3991.9626783772464,0.0,3290.4723811782305,2058.3001405360365,1118.3789187343557,1795.0103102679311
2050-01-02 10:00:00,2667.620403790608,3913.1444603763134,3816.893385902903,5958.092675059814,2060.3326435780414,3890.72996645846,0.0,3257.4173994273533,1993.52467181363,1082.9230611725154,1738.8691324203585
2050-01-02 11:00:00,2647.950130204445,3867.247155341936,3760.618054987478,5900.047099299,1983.3434624794015,3749.3308069350833,0.0,3211.2470800805368,1903.048019934257,1033.399262349001,1660.452628388858
2050-01-02 12:00:00,2636.9789031121536,3841.6476254599206,3729.230111527386,5867.671789896962,1940.402230076972,3670.464476835764,0.0,3185.4952746336658,1852.584060194664,1005.7770312200962,1616.715297042412
2050-01-02 13:00:00,2634.728613517973,3836.396949740166,3722.792184214716,5861.031345647389,1931.594627461184,3654.288338974359,0.0,3180.213365933666,1842.2334838618733,1000.1114827126652,1607.7444079360073
2050-01-02 14:00:00,2638.141601204441,3844.36058767526,3732.556512637753,5871.102829120044,1944.9530144673415,3678.8224964794063,0.0,3188.224374561521,1857.9320809060164,1008.7043533116134,1621.350449636602
2050-01-02 15:00:00,2646.079008709348,3862.881205186707,3755.264902126723,5894.525553092454,1976.0199186042933,3735.880307346756,0.0,3206.855159623155,1894.441489506786,1028.688344420398,1652.9933113833752
2050-01-02 16:00:00,2660.164892158246,3895.7482665674697,3795.56366812256,5936.091991470118,2031.1518732785005,3837.136249318991,0.0,3239.9177265604635,1959.231822373124,1064.1523381019829,1709.1473720485403
2050-01-02 17:00:00,2669.3204181695937,3917.111160593948,3821.757012802617,5963.1092963588335,2066.986476546898,3902.950467780584,0.0,3261.407695059396,2001.344166976404,1087.2031831409868,1745.6463225707348
2050-01-02 18:00:00,2670.4364765826544,3919.7152968910896,3824.949980924835,5966.402705211793,2071.3547138722915,3910.973219517844,0.0,3264.0273217318463,2006.4776608280893,1090.0130806282584,1750.0955438112933
2050-01-02 19:00:00,2665.633120798828,3908.507466728828,3811.207902806028,5952.228344553567,2052.554445197718,3876.444443507193,0.0,3252.7528232097893,1984.383837516359,1077.9196837329891,1730.9467319486998
2050-01-02 20:00:00,2656.9604788265437,3888.2713021268314,3786.396056912606,5926.635996056554,2018.6098434369385,3814.1014221782552,0.0,3232.396286342775,1944.492597307437,1056.0845946366217,1696.372822175436
2050-01-02 21:00:00,2616.45333431026,3793.754631588836,3670.5078384743847,5807.102298898005,1860.0654352317167,3522.917053836591,0.0,3137.317395347577,1758.1733375892877,954.0998577618552,1534.889116961481
2050-01-02 22:00:00,2563.4089710034027,3669.984450539503,3518.751479559716,5650.57216241946,1652.450524589776,3141.609272010994,0.0,3012.8109830346843,1514.1870822860717,820.5501963591687,1323.4251781972196
2050-01-02 23:00:00,2512.083340857524,3550.224646865784,3371.912300722166,5499.1138850318,1451.5627119727362,2772.6565508988465,0.0,2892.338803319864,1278.1064222557502,691.3277851557594,1118.8130529197667
2050-01-03 00:00:00,2535.9450938418004,3725.879907890698,3502.788211123247,6015.6692826696,1528.8679850974186,2988.763871759906,0.0,2938.6986826746856,1368.954541239904,741.0549122610411,1197.8448114416965
2050-01-03 01:00:00,2539.596941851489,3734.400886579973,3513.235902879941,6026.445625936249,1543.1612681334218,3015.015069386377,0.0,2947.2703473276865,1385.7518155453024,750.2491609009334,1212.403081458624
2050-01-03 02:00:00,2552.750292852937,3765.092038916685,3550.8667562084856,6065.260227508452,1594.6433035951372,3109.5675304070064,0.0,2978.144062101275,1446.25281236125,783.3653199618338,1264.8395560869376
2050-01-03 03:00:00,2576.0506451106958,3819.45952751812,3617.527498267189,6134.017906770359,1685.8405628389826,3277.061399336378,0.0,3032.8349488305166,1553.426606902418,842.0285588169345,1357.7275456084049
