name,DACCS,Road Transport,Synthetic Fuels,Industry,Heating (Residential + Commercial),Power Generation
2050-01-01 00:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,6864.758948447677,0.0
2050-01-01 01:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,7028.398501944103,0.0
2050-01-01 02:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,7499.861824124435,0.0
2050-01-01 03:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,8520.914096556997,0.0
2050-01-01 04:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,10355.76885957271,0.0
2050-01-01 05:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,12435.606129212809,0.0
2050-01-01 06:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,12828.84542554753,0.0
2050-01-01 07:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,12444.276859915393,0.0
2050-01-01 08:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,12112.079451298072,0.0
2050-01-01 09:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,11698.2752847688,0.0
2050-01-01 10:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,11373.46652618429,0.0
2050-01-01 11:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,10940.1605557307,0.0
2050-01-01 12:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,10756.332089124919,0.0
2050-01-01 13:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,10839.500779439388,0.0
2050-01-01 14:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,10989.266775863462,0.0
2050-01-01 15:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,11051.082179413052,0.0
2050-01-01 16:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,11602.630091794506,0.0
2050-01-01 17:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,11925.774993400868,0.0
2050-01-01 18:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,11992.76403903429,0.0
2050-01-01 19:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,11959.41715696316,0.0
2050-01-01 20:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,11615.788060756286,0.0
2050-01-01 21:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,10411.89632514775,0.0
2050-01-01 22:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,9051.135525868205,0.0
2050-01-01 23:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3956.3803214276863,7369.48327507226,0.0
2050-01-02 00:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,6863.201160037416,0.0
2050-01-02 01:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,7212.615004931679,0.0
2050-01-02 02:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,7476.2478573256485,0.0
2050-01-02 03:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,8093.046278331616,0.0
2050-01-02 04:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,9967.60048721576,0.0
2050-01-02 05:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,13519.490934870122,0.0
2050-01-02 06:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,13950.954856678301,0.0
2050-01-02 07:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,13470.20308443822,0.0
2050-01-02 08:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,13025.62801196382,0.0
2050-01-02 09:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,12595.971135291951,0.0
2050-01-02 10:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,12177.544213139521,0.0
2050-01-02 11:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,11593.096617171022,0.0
2050-01-02 12:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,11267.117048517468,0.0
2050-01-02 13:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,11200.255937623873,0.0
2050-01-02 14:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,11301.66339592328,0.0
2050-01-02 15:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,11537.501434176507,0.0
2050-01-02 16:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,11956.02437351134,0.0
2050-01-02 17:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,12228.055422989146,0.0
2050-01-02 18:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,12261.216001748588,0.0
2050-01-02 19:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,12118.497613611184,0.0
2050-01-02 20:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,11860.814123384445,0.0
2050-01-02 21:00:00,2774.6315999999997,596.8786013658885,9106.796699999999,3984.8275530742276,10657.256728598399,0.0
