name,St Fergus,Grangemouth,Teesside,Humberside,Theddlethorpe,Merseyside,Barrow,Bacton,Grain LNG,Southampton,South Wales
2050-08-11 05:00:00,360.89340149856235,842.0846034966455,1032.4917701608342,1064.9707126086537,1412.5318249169077,2594.271168924036,0.0,847.0936372267442,1659.9884343204403,908.6204182295521,1438.7191286176221
2050-08-11 06:00:00,408.7736718602006,953.805234340468,1169.4740061789792,1206.2619787697836,1599.934546580992,2938.4570266972787,0.0,959.4788241091417,1880.2215965296193,1029.1684556840664,1629.5961592494687
2050-08-11 07:00:00,371.4527263630221,866.723028180385,1062.7012890263456,1096.1305278861707,1453.86087764758,2670.176552467824,0.0,871.8786204626588,1708.5577821568133,935.2056041451925,1480.8143916640054
2050-08-11 08:00:00,345.54985804511824,806.283002105276,988.5949234049667,1019.693009171282,1352.477406229866,2483.9745765088883,0.0,811.07907453883,1589.4132878410394,869.99001708644,1377.5513450682915
2050-08-11 09:00:00,318.32143407714295,742.7500128466669,910.6962321441999,939.3438701845979,1245.9057281737112,2288.2438843376162,0.0,747.1681673313013,1464.1716827467646,801.4370818684991,1269.0039062894957
2050-08-11 10:00:00,298.02201000226904,695.3846900052944,852.6209439585955,879.4417161612862,1166.4540606891283,2142.3220957858302,0.0,699.5210978592883,1370.8011499308832,750.3292724263127,1188.079263181111
2050-08-11 11:00:00,280.86330554687913,655.347712942718,803.5310435524151,828.8076019452338,1099.2951267298486,2018.9772740743042,0.0,659.2459659038128,1291.8768724971676,707.1288449488496,1119.6752518587698
2050-08-11 12:00:00,272.1076575869795,634.9178677029522,778.4817231063113,802.970308693304,1065.025640671716,1956.0375667443914,0.0,638.6945963142587,1251.603832624277,685.0847718841709,1084.770434671638
2050-08-11 13:00:00,261.7072435491601,610.6502349480403,748.7268374372352,772.2794279421199,1024.3185627375383,1881.2745088132947,0.0,614.2826106160508,1203.765421217376,658.8996753610315,1043.308677378152
2050-08-11 14:00:00,254.19335590548795,593.1178304461386,727.2301098113197,750.1064809025914,994.9093095301777,1827.2611575035423,0.0,596.6459168240289,1169.2040617314813,639.9819791521955,1013.354198193035
2050-08-11 15:00:00,256.5835526674827,598.6949562241263,734.0683021295423,757.159781235395,1004.2645068823919,1844.4430137579113,0.0,602.2562174291337,1180.198164045866,645.9997715876253,1022.8828340405249
2050-08-11 16:00:00,264.282734887112,616.6597147365947,756.0951450857373,779.8795193655342,1034.3990005193007,1899.788349454653,0.0,620.3278370348561,1215.6118163466301,665.3839834889144,1053.5759990806662
2050-08-11 17:00:00,278.5930834766936,650.0505281122851,797.0360907653289,822.1083383792442,1090.4095086762898,2002.6578522193138,0.0,653.9172714395735,1281.4346134694363,701.413112496218,1110.624900965616
