name,Networked Electrolysis: St Fergus,Networked Electrolysis: Grangemouth,Networked Electrolysis: Teesside,Networked Electrolysis: Humberside,Networked Electrolysis: Theddlethorpe,Networked Electrolysis: Merseyside,Networked Electrolysis: Barrow,Networked Electrolysis: Bacton,Networked Electrolysis: Grain LNG,Networked Electrolysis: Southampton,Networked Electrolysis: South Wales,Non-networked Electrolysis: St Fergus,Non-networked Electrolysis: Grangemouth,Non-networked Electrolysis: Teesside,Non-networked Electrolysis: Humberside,Non-networked Electrolysis: Theddlethorpe,Non-networked Electrolysis: Merseyside,Non-networked Electrolysis: Barrow,Non-networked Electrolysis: Bacton,Non-networked Electrolysis: Grain LNG,Non-networked Electrolysis: Southampton,Non-networked Electrolysis: South Wales
2050-01-01 00:00:00,0.7854495278365115,0.7854495278365115,0.7854495278365115,0.7854495278365115,0.7854495278365115,0.7854495278365115,0.7854495278365115,0.7854495278365115,0.7854495278365115,0.7854495278365115,0.7854495278365115,0.7558940624187358,0.7558940624187358,0.7558940624187358,0.7558940624187358,0.7558940624187358,0.7558940624187358,0.7558940624187358,0.7558940624187358,0.7558940624187358,0.7558940624187358,0.7558940624187358
2050-01-01 01:00:00,0.7865131588530084,0.7865131588530084,0.7865131588530084,0.7865131588530084,0.7865131588530084,0.7865131588530084,0.7865131588530084,0.7865131588530084,0.7865131588530084,0.7865131588530084,0.7865131588530084,0.8055232993631857,0.8055232993631857,0.8055232993631857,0.8055232993631857,0.8055232993631857,0.8055232993631857,0.8055232993631857,0.8055232993631857,0.8055232993631857,0.8055232993631857,0.8055232993631857
2050-01-01 02:00:00,0.7876700814579105,0.7876700814579105,0.7876700814579105,0.7876700814579105,0.7876700814579105,0.7876700814579105,0.7876700814579105,0.7876700814579105,0.7876700814579105,0.7876700814579105,0.7876700814579105,0.8197677147776522,0.8197677147776522,0.8197677147776522,0.8197677147776522,0.8197677147776522,0.8197677147776522,0.8197677147776522,0.8197677147776522,0.8197677147776522,0.8197677147776522,0.8197677147776522
2050-01-01 03:00:00,0.7895922271357907,0.7895922271357907,0.7895922271357907,0.7895922271357907,0.7895922271357907,0.7895922271357907,0.7895922271357907,0.7895922271357907,0.7895922271357907,0.7895922271357907,0.7895922271357907,0.8247282675350193,0.8247282675350193,0.8247282675350193,0.8247282675350193,0.8247282675350193,0.8247282675350193,0.8247282675350193,0.8247282675350193,0.8247282675350193,0.8247282675350193,0.8247282675350193
2050-01-01 04:00:00,0.7884555788915313,0.7884555788915313,0.7884555788915313,0.7884555788915313,0.7884555788915313,0.7884555788915313,0.7884555788915313,0.7884555788915313,0.7884555788915313,0.7884555788915313,0.7884555788915313,0.8043204741757843,0.8043204741757843,0.8043204741757843,0.8043204741757843,0.8043204741757843,0.8043204741757843,0.8043204741757843,0.8043204741757843,0.8043204741757843,0.8043204741757843,0.8043204741757843
2050-01-01 05:00:00,0.7841208199912609,0.7841208199912609,0.7841208199912609,0.7841208199912609,0.7841208199912609,0.7841208199912609,0.7841208199912609,0.7841208199912609,0.7841208199912609,0.7841208199912609,0.7841208199912609,0.7861065906444747,0.7861065906444747,0.7861065906444747,0.7861065906444747,0.7861065906444747,0.7861065906444747,0.7861065906444747,0.7861065906444747,0.7861065906444747,0.7861065906444747,0.7861065906444747
2050-01-01 06:00:00,0.7814485761700368,0.7814485761700368,0.7814485761700368,0.7814485761700368,0.7814485761700368,0.7814485761700368,0.7814485761700368,0.7814485761700368,0.7814485761700368,0.7814485761700368,0.7814485761700368,0.7715839507005083,0.7715839507005083,0.7715839507005083,0.7715839507005083,0.7715839507005083,0.7715839507005083,0.7715839507005083,0.7715839507005083,0.7715839507005083,0.7715839507005083,0.7715839507005083
2050-01-01 07:00:00,0.7806406508027742,0.7806406508027742,0.7806406508027742,0.7806406508027742,0.7806406508027742,0.7806406508027742,0.7806406508027742,0.7806406508027742,0.7806406508027742,0.7806406508027742,0.7806406508027742,0.755316837475339,0.755316837475339,0.755316837475339,0.755316837475339,0.755316837475339,0.755316837475339,0.755316837475339,0.755316837475339,0.755316837475339,0.755316837475339,0.755316837475339
2050-01-01 08:00:00,0.7801072275482848,0.7801072275482848,0.7801072275482848,0.7801072275482848,0.7801072275482848,0.7801072275482848,0.7801072275482848,0.7801072275482848,0.7801072275482848,0.7801072275482848,0.7801072275482848,0.7405909279769463,0.7405909279769463,0.7405909279769463,0.7405909279769463,0.7405909279769463,0.7405909279769463,0.7405909279769463,0.7405909279769463,0.7405909279769463,0.7405909279769463,0.7405909279769463
2050-01-01 09:00:00,0.7816786743963267,0.7816786743963267,0.7816786743963267,0.7816786743963267,0.7816786743963267,0.7816786743963267,0.7816786743963267,0.7816786743963267,0.7816786743963267,0.7816786743963267,0.7816786743963267,0.734035564012271,0.734035564012271,0.734035564012271,0.734035564012271,0.734035564012271,0.734035564012271,0.734035564012271,0.734035564012271,0.734035564012271,0.734035564012271,0.734035564012271
2050-01-01 10:00:00,0.7698031976087173,0.7698031976087173,0.7698031976087173,0.7698031976087173,0.7698031976087173,0.7698031976087173,0.7698031976087173,0.7698031976087173,0.7698031976087173,0.7698031976087173,0.7698031976087173,0.7258504841117249,0.7258504841117249,0.7258504841117249,0.7258504841117249,0.7258504841117249,0.7258504841117249,0.7258504841117249,0.7258504841117249,0.7258504841117249,0.7258504841117249,0.7258504841117249
