name,Bacton,Barrow,Grain LNG,Grangemouth,Humberside,Merseyside,South Wales,Southampton,St Fergus,Teesside,Theddlethorpe
2050-04-18 18:00:00,2891.5997804865233,0.0,1276.658212397794,3854.0915362294913,6575.523115655304,2944.6579169928573,1118.247399914921,690.53508502628,2521.4322717964765,3545.8448928807343,1450.3303886196165
2050-04-18 19:00:00,2908.4104829991293,0.0,1309.6009362212021,3870.802833703254,6596.657621980853,2996.141624272951,1146.7990005969511,708.5667958979881,2528.594256428089,3566.334849636532,1478.3622982630484
2050-04-18 20:00:00,2892.619796516371,0.0,1278.6570643994592,3855.1055207009913,6576.805485337285,2947.78177256417,1119.979813557459,691.6291876743358,2521.8668365699764,3547.0881534955797,1452.03126918437
2050-04-18 21:00:00,2839.3151809667456,0.0,1174.1998457170444,3802.116105981031,6509.790633717027,2784.5334358824034,1029.446292038011,634.4529087533526,2499.157087404279,3482.117087195569,1363.1456223445357
2050-04-18 22:00:00,2743.7947401796146,0.0,987.0153126506193,3707.160496623142,6389.701817766525,2491.9967968536316,867.212650684798,531.9945510898276,2458.461826250898,3365.6906796997837,1203.864928201159
2050-04-18 23:00:00,2656.1970301022247,0.0,815.3563847456991,3620.0807692871804,6279.573501811493,2223.723959317597,718.4351182221063,438.0343742349469,2421.1419431069144,3258.921001868252,1057.7954173035848
2050-04-19 00:00:00,2634.783881641076,0.0,773.394578841615,3597.407242266916,6247.747130747181,2157.3514948105376,682.0635005346004,415.06592888801003,2411.9751413951158,3232.0251891379326,1022.0889117370148
2050-04-19 01:00:00,2657.116188924065,0.0,817.1575941356718,3619.607494160117,6275.823428521324,2225.7454224399376,719.9930944569343,439.020294133784,2421.4895350636302,3259.245230069744,1059.3281180947909
2050-04-19 02:00:00,2662.8463619428303,0.0,828.3866017917159,3625.3037835222603,6283.027433102381,2243.294394598667,729.7253237762054,445.16666565167617,2423.93080193312,3266.2295305336716,1068.8832031474715
2050-04-19 03:00:00,2706.9693983768066,0.0,914.8513406927054,3669.1659116362357,6338.499153687352,2378.423636840171,804.6646855427274,492.49448167618255,2442.7288568391095,3320.009502416984,1142.458532291724
2050-04-19 04:00:00,2815.7106449811226,0.0,1127.943735398574,3777.2641495480566,6475.20923837797,2711.4497257410417,989.3527822111697,609.1339092746324,2489.056673087033,3452.550271538513,1323.7849698418847
2050-04-19 05:00:00,2999.576901399926,0.0,1488.2532049824094,3960.043168098749,6706.366892641645,3274.5503169896283,1301.6345520082873,806.354886346895,2567.390538180187,3676.658195644996,1630.3826437072748
2050-04-19 06:00:00,3047.835752028769,0.0,1582.8226013005567,4008.016654512879,6767.038181251639,3422.3457192094984,1383.5982552797736,858.1189123230689,2587.9506037862425,3735.479161736569,1710.8544585710022
2050-04-19 07:00:00,3017.9645286486098,0.0,1524.2861147175581,3978.322065637921,6729.483917293515,3330.863443590783,1332.8644301350787,826.078058410429,2575.22435141126,3699.0702088779194,1661.0440812769239
2050-04-19 08:00:00,2981.9403260176096,0.0,1453.6920775354924,3942.5108813063725,6684.19409446744,3220.537328316156,1271.680273932352,787.4373171481926,2559.876700983454,3655.161612344384,1600.9735879485434
2050-04-19 09:00:00,2939.4288526412183,0.0,1370.3854027719308,3900.2507867560053,6630.748439694353,3090.343587173306,1199.47801996127,741.8381165152267,2541.7652318904393,3603.345916334397,1530.0855462618517
2050-04-19 10:00:00,2901.974804058966,0.0,1296.9893993872752,3863.018211437667,6583.661006787519,2975.638489500134,1135.8653875775894,701.6636755896523,2525.808413896866,3557.6945323304017,1467.6307794339268
2050-04-19 11:00:00,2882.3598462818763,0.0,1258.55137834836,3843.5192408204402,6559.000975542279,2915.5665951964993,1102.550989120631,680.6240285474166,2517.4517122037687,3533.7865703449943,1434.922763593732
2050-04-19 12:00:00,2864.9344371961865,0.0,1224.404058294999,3826.1968716562365,6537.093656780874,2862.2003149990583,1072.9553596957126,661.9329632442991,2510.027839704824,3512.547369999254,1405.8658284285534
2050-04-19 13:00:00,2857.6071471039118,0.0,1210.0452952568212,3818.912909292573,6527.88174795742,2839.760083367802,1060.5105579011918,654.0734715711843,2506.9061415489687,3503.616401349055,1393.6475446510703
2050-04-19 14:00:00,2858.5300532446686,0.0,1211.8538479979738,3819.830358105137,6529.0420305604275,2842.5865345266448,1062.0780383546783,655.0634109671954,2507.29933389721,3504.7412982354044,1395.1864941106578
2050-04-19 15:00:00,2876.904537016038,0.0,1247.8610014065853,3838.096189886998,6552.142531161371,2898.8594085007494,1093.2855933622802,674.7724849058831,2515.1275475180078,3527.1372913596147,1425.8260148824697
2050-04-19 16:00:00,2899.073626967865,0.0,1291.3041714437502,3860.134189585689,6580.013631222016,2966.7534740158626,1130.93797602231,698.5517778890573,2524.5724045317324,3554.158392594837,1462.79305572688
2050-04-19 17:00:00,2926.544490589114,0.0,1345.1368457645722,3887.4426125080277,6614.550149879476,3050.8845149611916,1177.594986811494,728.0179271973955,2536.276014355592,3587.6416338348586,1508.6008240982767
2050-04-19 18:00:00,2942.238380620237,0.0,1375.8910325466263,3903.043701435391,6634.2805934993385,3098.9479221770675,1204.2497730097687,744.8517083722982,2542.962195324462,3606.7703482848838,1534.7704447299252
2050-04-19 19:00:00,2950.344806574921,0.0,1391.776612058834,3911.102192475618,6644.472036152518,3123.774300528939,1218.0178732211089,753.5469267254971,2546.415834341702,3616.650977433547,1548.2879404873142
2050-04-19 20:00:00,2929.1950639863694,0.0,1350.3309836855772,3890.077512535814,6617.882465122615,3059.002042756736,1182.0967685282365,730.8610191566822,2537.4052572246433,3590.87232179969,1513.020665203634
2050-04-19 21:00:00,2859.2985670599637,0.0,1213.359849210758,3820.594327544871,6530.008210294942,2844.940150639814,1063.383296094887,655.8877440911634,2507.6267493713817,3505.6780119051523,1396.4679937870649
2050-04-19 22:00:00,2763.297605757225,0.0,1025.2336746736526,3725.1610390850797,6409.315281347434,2550.9318909248113,900.3335300216711,552.9139643625067,2466.7267686029,3388.665915347432,1236.3860298772863
2050-04-19 23:00:00,2672.467505746527,0.0,847.2404648562009,3634.868035582568,6295.123187246252,2272.7596802354665,746.0660481321052,455.48662004937546,2428.029767101824,3277.9563944366655,1084.9264966130147
2050-04-20 00:00:00,2662.2653533788857,0.0,827.2480411249792,3583.1492718106438,6135.244447691977,2217.7285673668366,728.6444119607706,444.54345681009556,2422.36420158145,3241.6572790917003,1067.9143691826598
2050-04-20 01:00:00,2686.9365239919525,0.0,875.5943585556163,3607.6745568682877,6166.2611771230995,2293.285393451168,770.5463735935045,471.00656357364807,2432.8750380347255,3271.7280758711677,1109.053638936829
2050-04-20 02:00:00,2693.1411438049595,0.0,887.7531054477141,3613.842487526094,6174.061658785736,2312.2873851881327,781.0844119147428,477.6618422839289,2435.518436888071,3279.2906623579215,1119.399865802698
2050-04-20 03:00:00,2741.4608500571694,0.0,982.4417561511074,3661.876469712145,6234.809455415311,2460.269161124237,863.1514734757675,529.4911439976667,2456.1044292535216,3338.1858031658817,1199.9731576471909
2050-04-20 04:00:00,2861.5131559214456,0.0,1217.6996196154446,3781.2188823331912,6385.739865122034,2827.935995320012,1067.0504774241995,658.2631847379777,2507.2511775196845,3484.513212966172,1400.1608290398367
2050-04-20 05:00:00,3064.6552447206914,0.0,1615.7825506057295,3983.1597514206123,6641.131200343968,3450.06989056709,1412.0706689813496,876.1600518294119,2593.7972642714362,3732.115751388214,1738.901025871493
2050-04-20 06:00:00,3117.6482686128447,0.0,1719.6291655426978,4035.8394169867547,6707.75431724339,3612.363960544524,1502.074977603637,933.0021073190206,2616.374263799783,3796.707029896353,1827.2670924509925
2050-04-20 07:00:00,3095.1693213574677,0.0,1675.5787904486435,4013.493392232588,6679.493662901061,3543.520939879999,1463.8963277044634,908.8904512293723,2606.797396047997,3769.308254810472,1789.7833633879334
2050-04-20 08:00:00,3048.66342890517,0.0,1584.4445401061391,3967.26249840347,6621.026202812976,3401.094069139871,1384.909880251494,859.0067056868064,2586.9841558355183,3712.623905984311,1712.2346128742402
2050-04-20 09:00:00,2999.3388561001434,0.0,1487.7867247408894,3918.229591641069,6559.0150825060655,3250.034833744714,1301.136135193262,806.0995511509489,2565.9700529373463,3652.503969710658,1629.9857022749018
2050-04-20 10:00:00,2961.8485602174446,0.0,1414.3196901303188,3880.9609833598056,6511.882079296623,3135.2187267068525,1237.4619397400197,765.8862301820777,2549.9977922453763,3606.8084051842775,1567.470492937202
2050-04-20 11:00:00,2936.4909894372317,0.0,1364.6282836933374,3855.7533569561874,6480.002403854556,3057.5597621035713,1194.3941836697402,738.6868680867217,2539.1945237866826,3575.9009800883287,1525.186648323639
2050-04-20 12:00:00,2920.90929608474,0.0,1334.0939606674401,3840.263801266104,6460.4130145072595,3009.8399634285115,1167.9299543362797,721.9734327491406,2532.556142776647,3556.9090181084384,1499.2041160754368
2050-04-20 13:00:00,2913.4437034564025,0.0,1319.4641761031728,3832.8423541768743,6451.027230985764,2986.976172622532,1155.2502570173147,713.9655932398042,2529.3755225955483,3547.809477503497,1486.7552122990892
2050-04-20 14:00:00,2912.93801739573,0.0,1318.4732195250301,3832.339658338798,6450.391479729086,2985.4274810610855,1154.3913906811842,713.4231777856581,2529.1600815220872,3547.19311506966,1485.9119788916767
2050-04-20 15:00:00,2926.434989472603,0.0,1344.9222643074993,3845.75682012621,6467.359946187911,3026.762705395241,1177.314891758335,727.9004727084128,2534.9102937166926,3563.6440857522925,1508.4182305748
