,efh,mfh,ghd
2010-09-20 22:00:00,0.919997217517169,5.058944089487497,4.72463801105946
2010-09-20 23:00:00,0.5507675650019171,3.70741245773716,4.539027232053552
2010-09-21 00:00:00,0.3935542667220511,2.5299898353680144,4.40186891472817
2010-09-21 01:00:00,0.41242330690735496,2.440827197998216,4.714163668813614
2010-09-21 02:00:00,0.43937907860064607,2.3293739012859684,5.1156854954949
2010-09-21 03:00:00,0.5256375480191778,2.5522804947104634,6.126925651581102
2010-09-21 04:00:00,0.8221510366453807,3.8451387365725327,7.599172349412483
2010-09-21 05:00:00,1.4852630203003436,5.951606044434007,9.487812052691122
2010-09-21 06:00:00,1.8815128641917236,6.776360440104637,9.755493270478649
2010-09-21 07:00:00,1.7898632404345338,6.05191401147503,8.982191974648023
2010-09-21 08:00:00,1.5472612951949132,5.762135440023187,8.283246572647267
2010-09-21 09:00:00,1.4070912823897992,5.360903571859096,7.480202919284694
2010-09-21 10:00:00,1.261530115246027,5.104560989420927,6.870484589879779
2010-09-21 11:00:00,1.1644893371501785,4.870509066325208,6.320250975538759
2010-09-21 12:00:00,1.1213601024409126,4.759055769612961,5.978213863921367
2010-09-21 13:00:00,1.078230867731647,4.614166483887039,5.591563216006055
2010-09-21 14:00:00,1.0728397133929888,4.446986538818667,5.472593785878265
2010-09-21 15:00:00,1.1240556796102419,4.491567857503567,5.338753176984504
2010-09-21 16:00:00,1.196836263182128,4.625311813558263,5.338753176984504
2010-09-21 17:00:00,1.3073549271246219,4.870509066325208,5.457722607112292
2010-09-21 18:00:00,1.4178735910671156,5.260595604818072,5.874115612559551
2010-09-21 19:00:00,1.5014364833163183,5.628391483968489,5.7997597187296845
2010-09-21 20:00:00,1.4475249399297359,5.77328076969441,5.725403824899816
2010-09-21 21:00:00,1.2642256924153559,5.516938187256242,5.011587244133086
2010-09-21 22:00:00,0.805977573629406,4.54729450585969,3.9706047305149377
2010-09-21 23:00:00,0.48250831330991195,3.332453571696194,4.000347088046885
2010-09-22 00:00:00,0.3554576036260465,2.3291508851936102,3.9693239847799746
2010-09-22 01:00:00,0.3725000914711309,2.2470662724995623,4.250931429646121
2010-09-22 02:00:00,0.39684650267839433,2.1444605066320026,4.612998144474024
2010-09-22 03:00:00,0.47475501854163743,2.3496720383671224,5.524869870707262
2010-09-22 04:00:00,0.7425655418215356,3.539898922430818,6.85244782507624
2010-09-22 05:00:00,1.3414872575202168,5.479147897327701,8.55550237260008
2010-09-22 06:00:00,1.6993795022669895,6.238430564747644,8.79688018248535
2010-09-22 07:00:00,1.6166017041622938,5.571493086608504,8.099566509483463
2010-09-22 08:00:00,1.3974840032969227,5.3047180953528486,7.469302228116371
2010-09-22 09:00:00,1.2708826650191527,4.935337338229632,6.745168798460565
2010-09-22 10:00:00,1.13941204449993,4.699344076734245,6.195363787055229
2010-09-22 11:00:00,1.0517649641537816,4.48387196841237,5.699198288957734
2010-09-22 12:00:00,1.0128107062221599,4.3812662025448095,5.390771087437669
2010-09-22 13:00:00,0.9738564482905384,4.247878706916981,5.0421142509367245
2010-09-22 14:00:00,0.9689871660490859,4.093970058115641,4.934835224321049
2010-09-22 15:00:00,1.0152453473428864,4.135012364462666,4.814146319378415
2010-09-22 16:00:00,1.0809806576024976,4.258139283503737,4.814146319378415
2010-09-22 17:00:00,1.180800943552278,4.48387196841237,4.92142534599409
2010-09-22 18:00:00,1.280621229502058,4.842992148948829,5.2969019391489525
2010-09-22 19:00:00,1.3560951042445748,5.181591176311777,5.229852547514155
2010-09-22 20:00:00,1.3074022818300477,5.314978671939604,5.162803155879359
2010-09-22 21:00:00,1.1418466856206562,5.078985410444218,4.519128996185309
2010-09-22 22:00:00,0.7279576950971774,4.186315247396446,3.5804375132981527
2010-09-22 23:00:00,0.43580076061001594,3.0679123994400417,3.6072572699520715
2010-09-23 00:00:00,0.39478853422339855,2.536411023167722,4.414792509284486
2010-09-23 01:00:00,0.4137167516176711,2.447022088430533,4.72800414001075
2010-09-23 02:00:00,0.4407570621809175,2.335285920009048,5.130704808087375
2010-09-23 03:00:00,0.5272860559833062,2.5587582568520193,6.144913898058136
2010-09-23 04:00:00,0.8247294721790175,3.8548978105412517,7.621483014339096
2010-09-23 05:00:00,1.489921112034881,5.966711393707328,9.515667638255072
2010-09-23 06:00:00,1.8874136773146042,6.793559040026322,9.78413475030616
2010-09-23 07:00:00,1.795476621399566,6.067273945286665,9.008563093269695
2010-09-23 08:00:00,1.5521138263303476,5.776759907390804,8.307565634025199
2010-09-23 09:00:00,1.4115042114014662,5.374509701073454,7.502164297871947
2010-09-23 10:00:00,1.265486534359935,5.117516513704039,6.890655875977813
2010-09-23 11:00:00,1.1681414163322479,4.882870560018918,6.3388068123172525
2010-09-23 12:00:00,1.1248769194310533,4.771134391597434,5.9957655024742005
2010-09-23 13:00:00,1.0816124225298591,4.6258773726495015,5.607979673955969
2010-09-23 14:00:00,1.0762043604172098,4.458273120017274,5.48866095748882
2010-09-23 15:00:00,1.1275809504873782,4.502967587385868,5.354427401463279
2010-09-23 16:00:00,1.2005897890081434,4.637050989491651,5.354427401463279
2010-09-23 17:00:00,1.3114550623174541,4.882870560018918,5.473746117930427
2010-09-23 18:00:00,1.4223203356267646,5.273947149494118,5.8913616255654455
2010-09-23 19:00:00,1.5061452983728287,5.642676505285021,5.816787427773479
2010-09-23 20:00:00,1.4520646772463357,5.787933524232952,5.74221322998151
2010-09-23 21:00:00,1.2681905654162597,5.530940336863535,5.026300931178621
2010-09-23 22:00:00,0.8085052858410695,4.5588356715966105,3.982262162091074
2010-09-23 23:00:00,0.48402155908211186,3.340911435802418,4.0120918412078606
2010-09-24 00:00:00,0.5667341762108485,3.385616088548831,6.3473662626510166
2010-09-24 01:00:00,0.5939063627415057,3.2662992219920435,6.430884239791161
2010-09-24 02:00:00,0.6327237720710158,3.1171531387960596,6.911112608346994
2010-09-24 03:00:00,0.7569394819254485,3.415445305188028,8.122123276879096
2010-09-24 04:00:00,1.1839309845500603,5.145539870261439,9.917759785392212
2010-09-24 05:00:00,2.138839254056011,7.9644008426655315,13.007924939577576
2010-09-24 06:00:00,2.7094551711998105,9.06808185831581,13.6551892624137
2010-09-24 07:00:00,2.5774759794794755,8.098632317541917,12.778250502442177
2010-09-24 08:00:00,2.228119295513884,7.71085250123236,11.734275788190367
2010-09-24 09:00:00,2.0262687670004316,7.173926601726817,10.585903602513373
2010-09-24 10:00:00,1.8166547566210762,6.830890610376056,9.562808382546597
2010-09-24 11:00:00,1.6769120830348396,6.5176838356644895,9.312254451126162
2010-09-24 12:00:00,1.6148042281076231,6.368537752468506,8.53971316257982
2010-09-24 13:00:00,1.552696373180407,6.174647844313727,7.913328334028734
