name,Bacton,Barrow,Grain LNG,Grangemouth,Humberside,Merseyside,South Wales,Southampton,St Fergus,Teesside,Theddlethorpe
2050-02-21 21:00:00,5196.354506526039,0.0,6118.4853509121995,6702.041508330067,12293.1009790317,10436.266185472608,5394.123149619629,3273.3096135484993,3206.0923908621326,6360.451660338412,4909.524655358716
2050-02-21 22:00:00,4824.665570197448,0.0,5390.113293378762,6332.550442859378,11825.811633444682,9297.948236960858,4762.839948930988,2874.6238698049397,3047.73907708898,5907.413470752317,4289.731956581645
2050-02-21 23:00:00,4368.857877558081,0.0,4496.8997632515075,5879.438032071429,11252.767731436576,7902.01193945851,3988.6879336729803,2385.709589119143,2853.548043894145,5351.845974144886,3529.670915392747
2050-02-22 00:00:00,4238.396801355284,0.0,4241.24458168901,5493.876614716674,10183.764211029093,7356.08163974552,3766.531277509578,2245.7727599273394,2789.8489894024888,5045.967944298529,3312.1265803264773
2050-02-22 01:00:00,4312.871602580858,0.0,4387.187489591734,5567.91103157978,10277.394334839546,7584.164842286609,3893.0206246306543,2325.656874343171,2821.578025200962,5136.742583571598,3436.3135913750866
2050-02-22 02:00:00,4382.228429861104,0.0,4523.101072301778,5636.857738098882,10364.59011406265,7796.573966229802,4010.817512392672,2400.051282046157,2851.126613709149,5221.279109670131,3551.966361627673
2050-02-22 03:00:00,4528.308303445884,0.0,4809.363286986339,5782.073812238219,10548.242522996661,8243.951667757294,4258.922207312263,2556.741345574511,2913.3620740545794,5399.330579583426,3795.5551000508235
2050-02-22 04:00:00,4976.6283444253,0.0,5687.903805052693,6227.742847344782,11111.872908749152,9616.956617447904,5020.357059793715,3037.6241255101722,3104.363089100249,5945.771648630805,4543.130453945224
2050-02-22 05:00:00,5837.133245997942,0.0,7374.173328883719,7083.159411704782,12193.704335592647,12252.30052603421,6481.854121930656,3960.6299057391957,3470.970188111677,6994.609923423552,5978.025612581614
2050-02-22 06:00:00,5994.568213322587,0.0,7682.687303527792,7239.663434648581,12391.6324299296,12734.453830889572,6749.244513085995,4129.499815236799,3538.043340801877,7186.501706049143,6240.54901250805
2050-02-22 07:00:00,5880.98201072752,0.0,7460.100597265329,7126.748889937682,12248.831240304089,12386.589795994132,6556.327655682168,4007.663528938013,3489.651393068635,7048.0555954548345,6051.143592627595
