name,DACCS,Road Transport,Synthetic Fuels,Industry,Heating (Residential + Commercial),Power Generation
2050-01-01 00:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,19620.05062742869,0.0
2050-01-01 01:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,20229.940043463637,0.0
2050-01-01 02:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,21331.665529338603,0.0
2050-01-01 03:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,23919.74669758431,0.0
2050-01-01 04:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,29205.98448980623,0.0
2050-01-01 05:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,36940.78810364471,0.0
2050-01-01 06:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,38341.13205249922,0.0
2050-01-01 07:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,37111.28631701469,0.0
2050-01-01 08:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,36232.87519575737,0.0
2050-01-01 09:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,35055.66759619335,0.0
2050-01-01 10:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,34017.88514529926,0.0
2050-01-01 11:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,32785.31019414509,0.0
2050-01-01 12:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,32280.477947381594,0.0
2050-01-01 13:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,32454.371324794687,0.0
2050-01-01 14:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,32865.24551245474,0.0
2050-01-01 15:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,33140.242514181395,0.0
2050-01-01 16:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,34720.05447991169,0.0
2050-01-01 17:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,35763.03772926445,0.0
2050-01-01 18:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,36088.153231446384,0.0
2050-01-01 19:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,35974.92402126452,0.0
2050-01-01 20:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,34938.34094753506,0.0
2050-01-01 21:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,31403.913724122343,0.0
2050-01-01 22:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,26946.219308319323,0.0
2050-01-01 23:00:00,0.0,5470.568962970747,9344.6201,6400.501770124895,21453.193833470206,0.0
2050-01-02 00:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,19794.759225106733,0.0
2050-01-02 01:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,20812.480433121164,0.0
2050-01-02 02:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,21471.448560233857,0.0
2050-01-02 03:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,23205.866264499826,0.0
2050-01-02 04:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,28626.11926757885,0.0
2050-01-02 05:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,39640.5274681548,0.0
2050-01-02 06:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,41150.54931399282,0.0
2050-01-02 07:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,39698.11855652871,0.0
2050-01-02 08:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,38570.978495132156,0.0
2050-01-02 09:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,37348.27735498723,0.0
2050-01-02 10:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,36096.22290693091,0.0
2050-01-02 11:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,34527.88900623548,0.0
2050-01-02 12:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,33713.460155630455,0.0
2050-01-02 13:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,33565.165452799425,0.0
2050-01-02 14:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,33875.75158909106,0.0
2050-01-02 15:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,34530.321529693174,0.0
2050-01-02 16:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,35838.939091532324,0.0
2050-01-02 17:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,36785.11312693544,0.0
2050-01-02 18:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,37043.925458288315,0.0
2050-01-02 19:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,36694.29489141576,0.0
2050-01-02 20:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,35830.580130119895,0.0
2050-01-02 21:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,32261.29073418898,0.0
2050-01-02 22:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,27280.934677170986,0.0
2050-01-02 23:00:00,0.0,5470.568962970747,9344.6201,6446.5228405237085,22057.82478783503,0.0
2050-01-03 00:00:00,0.0,5470.568962970747,9344.6201,7644.396645655363,23401.182053995515,0.0
2050-01-03 01:00:00,0.0,5470.568962970747,9344.6201,7644.396645655363,23781.816560250394,0.0
2050-01-03 02:00:00,0.0,5470.568962970747,9344.6201,7644.396645655363,24742.582209597796,0.0
2050-01-03 03:00:00,0.0,5470.568962970747,9344.6201,7644.396645655363,26678.22177403306,0.0
2050-01-03 04:00:00,0.0,5470.568962970747,9344.6201,7644.396645655363,32769.17745592964,0.0
