snapshot,St Fergus,Grangemouth,Teesside,Humberside,Theddlethorpe,Merseyside,Barrow,Bacton,Grain LNG,Southampton,South Wales
2050-08-20 19:00:00,2335.420674029252,4744.835409740979,3908.322934702008,10000.32520996855,1491.7554827738336,4205.098167372624,0.0,3146.722442641972,2101.968910299197,1074.807038083465,1913.17283038812
2050-08-20 20:00:00,2344.172455379618,4765.256232891834,3933.361193038068,10026.15109313126,1526.009834975272,4268.010079698273,0.0,3167.264736475861,2142.224165066906,1096.841376194951,1948.0622331479576
2050-08-20 21:00:00,2329.547424716868,4731.131161345417,3891.5199630933303,9982.993669742084,1468.7676654988022,4162.878494483756,0.0,3132.9366762585805,2074.953936099188,1060.019972915675,1889.758835846298
2050-08-20 22:00:00,2285.067586688717,4627.344872613064,3764.266135477045,9851.736837101584,1294.6741893614635,3843.136540445,0.0,3028.5330279179134,1870.361620527378,948.0331954791736,1712.43779438866
2050-08-20 23:00:00,2238.0119309012407,4517.548342442287,3629.643066342645,9712.87894979146,1110.498997833586,3504.878399294841,0.0,2918.083386977993,1653.9214083976349,829.5612880845121,1524.8481299338014
2050-08-21 00:00:00,2207.2269444571607,4602.675966633791,3623.476652154173,10205.69220185218,968.95838937242,3341.8997768820045,0.0,2833.2016542469746,1487.5847858255838,738.514357609855,1381.0671709658577
2050-08-21 01:00:00,2204.746305235187,4596.887808449185,3616.379710035556,10198.372012264394,959.2492014719886,3324.06777777272,0.0,2827.3790659356787,1476.1746785720302,732.268858418162,1371.177981845099
2050-08-21 02:00:00,2204.572500691549,4596.482264514031,3615.882466915629,10197.859127440444,958.568932871389,3322.8183891313247,0.0,2826.971109673733,1475.375236046696,731.8312711514669,1370.4851015637375
2050-08-21 03:00:00,2219.2860182535096,4630.813805491938,3657.97685193281,10241.277669364114,1016.1574388580397,3428.586059712032,0.0,2861.506867479796,1543.052475030856,768.875457676527,1429.1412562003798
2050-08-21 04:00:00,2285.144862664928,4784.484442451914,3846.394580172607,10435.62242649509,1273.9280528318436,3902.010346678044,0.0,3016.091594782549,1845.98103943992,934.6881062446002,1691.6907482385054
2050-08-21 05:00:00,2387.9384040981204,5024.336039129364,4140.479994632259,10738.958842780636,1676.260564502545,4640.938572531995,0.0,3257.3699183387307,2318.7968049634646,1193.4911495268875,2101.4822094959973
2050-08-21 06:00:00,2419.4174040925586,5097.787039116386,4230.539298272034,10831.851128749511,1799.468938842635,4867.224400349925,0.0,3331.257832306744,2463.5896321466707,1272.7457494215564,2226.9747767019758
2050-08-21 07:00:00,2387.4234476754536,5023.134474143141,4139.006738911354,10737.439243070216,1674.2450321252795,4637.236824051616,0.0,3256.1612059952004,2316.4281783766223,1192.1946450239225,2099.4293106271944
2050-08-21 08:00:00,2357.399375990964,4953.07830687933,4053.109887397212,10648.84034687407,1556.731227240436,4421.409703851158,0.0,3185.688318483366,2178.327532755201,1116.6031145120394,1979.736886016224
2050-08-21 09:00:00,2353.1128847111004,4943.076493892982,4040.84652389168,10636.191216538213,1539.9539591471605,4390.596392504877,0.0,3175.6270109778184,2158.611112563416,1105.8110260912647,1962.6485796814893
2050-08-21 10:00:00,2327.939268447052,4884.338055943538,3968.826499391676,10561.905668671894,1441.4247702687796,4209.636622611063,0.0,3116.5391748613483,2042.820932762896,1042.431475112469,1862.2927319292844
2050-08-21 11:00:00,2319.5562660937157,4864.777717119085,3944.843292984689,10537.16802605232,1408.6138140050382,4149.375666816414,0.0,3096.862483836015,2004.2619375204283,1021.3256109634426,1828.8734846088516
2050-08-21 12:00:00,2310.720496524148,4844.1609214567625,3919.564749997386,10511.094299639271,1374.0307330652906,4085.860007748109,0.0,3076.123051772967,1963.6203651533592,999.0798159216296,1793.649258721075
2050-08-21 13:00:00,2296.06448550566,4809.963562413623,3877.63488733672,10467.8454554278,1316.6673069012631,3980.505721194747,0.0,3041.7222740659354,1896.207636954558,962.1804134778616,1735.2223567218325
2050-08-21 14:00:00,2290.3339861945,4796.592397354249,3861.240313888946,10450.935160283394,1294.2382111736424,3939.312202319781,0.0,3028.27157232282,1869.8492648150088,947.7527496326665,1712.3774420149923
2050-08-21 15:00:00,2282.3241250147184,4777.902721268092,3838.3246393049417,10427.298630679064,1262.8877243467082,3881.733560428557,0.0,3009.4707230629315,1833.0065936446888,927.5863420870772,1680.4457401632217
2050-08-21 16:00:00,2285.8581260064548,4786.148723582144,3848.435178662428,10437.727215792844,1276.719755770357,3907.137618374037,0.0,3017.76577567853,1849.261811248557,936.483887583342,1694.5342073013082
2050-08-21 17:00:00,2294.144890436713,4805.484507252748,3872.1430548385392,10462.18086715878,1309.1540381227776,3966.706770804693,0.0,3037.21657581209,1887.378144368109,957.3474537530922,1727.5697974524594
2050-08-21 18:00:00,2310.6834892428838,4844.0745711338095,3919.458874652524,10510.985093789188,1373.8858870738602,4085.593982039609,0.0,3076.036187806043,1963.450144089104,998.9866427817462,1793.5017273912326
2050-08-21 19:00:00,2323.437250037184,4873.833346320513,3955.946527250318,10548.62053313263,1423.8039319439597,4177.274001088505,0.0,3105.9719793021018,2022.11316016177,1031.096754573202,1844.3452161898156
2050-08-21 20:00:00,2334.400378911966,4899.41398036167,3987.3113022543016,10580.971945271827,1466.713468034096,4256.082117399155,0.0,3131.7047765085963,2072.539870820748,1058.6985968400477,1888.050263597593
2050-08-21 21:00:00,2321.727475659154,4869.843872771776,3951.054977649196,10543.575110771872,1417.1118984726722,4164.9833403120265,0.0,3101.9587748746767,2014.2487722814649,1026.792059879442,1837.52911732772
2050-08-21 22:00:00,2281.188543636102,4775.253031384655,3835.0758172901847,10423.947610945845,1258.4430744018275,3873.570468451043,0.0,3006.80527183444,1827.7833007085885,924.7272916780438,1675.9186896692722
2050-08-21 23:00:00,2238.785617973745,4676.312871505823,3713.7638963868617,10298.819598707829,1092.4786047857128,3568.7583353749023,0.0,2907.276578931685,1632.7440844508717,817.9695513328231,1506.8773605497472
2050-08-22 00:00:00,2214.4955695195467,4577.430464868367,3622.2471846447847,10070.19854987043,1003.0675587582956,3378.468538744157,0.0,2853.656882120912,1527.6694236978396,760.4553059171119,1415.705521858555
